date,x_close,y_close
2008-12-04,0.0,1.0
2008-12-08,0.0,1.0
2008-12-10,0.0,1.0
2008-12-11,0.0,1.0
2008-12-12,0.0,1.0
2008-12-18,0.0,1.0
2008-12-23,0.0,1.0
2008-12-24,0.0,1.0
2008-12-26,0.0,1.0
2008-12-29,0.0,1.0
2009-01-05,0.0,1.0
2009-01-06,0.0,1.0
2009-01-07,0.0,1.0
2009-01-28,0.0,1.0
2009-01-29,0.0,1.0
2009-01-30,0.0,1.0
2009-02-02,0.0,1.0
2009-02-04,0.0,1.0
2009-02-05,0.0,1.0
2009-02-06,0.0,1.0
2009-02-09,0.0,1.0
2009-02-10,0.0,1.0
2009-02-13,0.0,1.0
2009-02-16,0.0,1.0
2009-02-17,0.0,1.0
2009-02-18,0.0,1.0
2009-02-19,0.0,1.0
2009-02-20,0.0,1.0
2009-02-25,0.0,1.0
2009-02-27,0.0,1.0
2009-03-03,0.0,1.0
2009-03-04,0.0,1.0
2009-03-05,0.0,1.0
2009-03-09,0.0,1.0
2009-03-12,0.0,1.0
2009-03-13,0.0,1.0
2009-03-16,0.0,1.0
2009-03-17,0.0,1.0
2009-03-18,0.0,1.0
2009-03-19,0.0,1.0
2009-03-20,0.0,1.0
2009-03-23,0.0,1.0
2009-03-24,0.0,1.0
2009-03-25,0.0,1.0
2009-03-26,0.0,1.0
2009-03-27,0.0,1.0
2009-03-30,0.0,1.0
2009-03-31,0.0,1.0
2009-04-01,0.0,1.0
2009-04-02,0.0,1.0
2009-04-06,0.0,1.0
2009-04-08,0.0,1.0
2009-04-09,0.0,1.0
2009-04-13,0.0,1.0
2009-04-15,0.0,1.0
2009-04-16,0.0,1.0
2009-04-17,0.0,1.0
2009-04-20,0.0,1.0
2009-04-21,0.0,1.0
2009-04-22,0.0,1.0
2009-04-23,0.0,1.0
2009-04-24,0.0,1.0
2009-04-27,0.0,1.0
2009-04-28,0.0,1.0
2009-04-29,0.0,1.0
2009-05-04,0.0,1.0
2009-05-05,0.0,1.0
2009-05-06,0.0,1.0
2009-05-07,0.0,1.0
2009-05-08,0.0,1.0
2009-05-11,0.0,1.0
2009-05-12,0.0,1.0
2009-05-13,0.0,1.0
2009-05-14,0.0,1.0
2009-05-15,0.0,1.0
2009-05-18,0.0,1.0
2009-05-19,0.0,1.0
